tune_id,name,type,meter,mode,abc,date,username,mode_type,keynorm_features
15191,Rambling Jock,reel,4/4,Cmajor,"GGGE GGGA|c2GA cdeA|GGGE GAGD|EGcd cAAA|
GGGE GGGA|c2GA cdef|edcA GGGD|EGcd cAAA||
g2ed ccce|gged eaaa|gged cccE|Gced cAAA|
g2ed ccce|gged eaaa|gged cGcd|e3f edcG||
AAGc AAGE|GAcd egdc|AAGc AAGE|Gced cAAG|
AAGc AAGE|GAcd egdc|AAGc AGcd|e3f edcA||",2016-02-03 21:26:53,Viking of St.Petersburg,major,"[0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.01086957 0.
 0.04891304 0.         0.         0.21195652 0.         0.19565217
 0.         0.         0.19021739 0.         0.11413043 0.
 0.11413043 0.01630435 0.         0.06521739 0.         0.0326087 ]"
20650,Mysoxen,march,4/4,Amajor,"E4A3B-|BA Bd c2A2|e4f3e-|ecBA BdcA|
E4A3B-|BA Bd c2A2|e4f3e-|ecB2 A4:|
|:f3a gefd|e2c2 B3B-|BABd cA2B-|BAG2 F4|
f3a gefd|e2c2 B3B-|BABd cA2B-|BAG2 A4:|",2021-04-10 12:19:13,pbsinclair42,major,"[0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.02564103 0.         0.01282051
 0.         0.02564103 0.20512821 0.         0.26923077 0.
 0.11538462 0.08974359 0.         0.12820513 0.         0.07692308
 0.         0.02564103 0.02564103 0.         0.         0.
 0.         0.         0.         0.         0.         0.        ]"
11495,"Flight, The",jig,6/8,Dmajor,"|:A|dfe dfe|d2A A2G|FAd Bcd|egf e2A|
dfe dfe|d2A A2G|FAd Adc|d3 d2:|
|:a|a2f dfa|b2g efg|a2d c2d|ecA A2a|
a2f dfa|b2g efg|afd Adc|d3 d2:|",2011-09-25 02:46:36,Mix O'Lydian,major,"[0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.02564103 0.02564103 0.         0.15384615 0.         0.01282051
 0.         0.06410256 0.25641026 0.         0.11538462 0.
 0.15384615 0.06410256 0.         0.1025641  0.         0.02564103]"
19338,Deóra Dé,slip jig,9/8,Adorian,"M:7/8
|:e2 A2 BAG|A2 E2 GED|e2 A2 BAG|A/B/c de aag|
e2 A2 BAG|A2 E2 GED|E/F/G AB cce|dB GB A3:|
|:[a2 A2] [e2 E2] [g2 G2][b B]|[a2 A2] [e2 E2] [c'2 c2][b B]|[g2 G2] [d2 D2] c2[d D]|B2 [d2 D2] [g2 G2][b B]|
[a2 A2] [e2 E2] [g2 G2][b B]|[a2 A2] [b2 B2] [c'2 c2][e'e]|1 [d' d][c' c] [b B][a2 A2] [g2 G2]|[d' d] [c' c] [b B] [a2 A2] [g2 G2]:|2 [d' d] [c' c] [b B][a2 A2] [a2 A2]|[a2 A2] [d' d][c' c] [b B][a2 A2]||",2020-06-06 14:48:25,Damien Rogeau,dorian,"[0.         0.         0.         0.         0.         0.
 0.         0.04166667 0.         0.10416667 0.         0.02083333
 0.14583333 0.         0.22916667 0.         0.16666667 0.08333333
 0.         0.04166667 0.         0.10416667 0.         0.
 0.02083333 0.         0.04166667 0.         0.         0.
 0.         0.         0.         0.         0.         0.        ]"
8032,"Coburg, The",mazurka,3/4,Dmajor,"|:A2|d2 d2 e2|f2 f2 ed|ce ge ce|d2 f2 A2|
d2 d2 e2|f2 f2 ed|ce ge ce|d4:|
|:A2|F2 F2 G2|A2 A2 GF|E2 EF GA|G2 F2 AG|
F2 F2 d2|BA GF ED|E2 E2 F2|D4:|
|:A2|d2 dc de|f2 a2 f2|ce ge ce|d2 f2 A2|
d2 d2 e2|f4 ed|ce ge ce|d4:|",2007-12-10 15:02:32,ceolachan,major,"[0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.02173913 0.         0.05434783 0.
 0.09782609 0.06521739 0.         0.10869565 0.         0.01086957
 0.         0.09782609 0.18478261 0.         0.20652174 0.
 0.09782609 0.04347826 0.         0.01086957 0.         0.        ]"
2411,Miss Johnson,reel,4/4,Gmajor,"BcdB G2GF|GBAF G2GA|BcdB GBAG|FGAB c2dc|
BcdB G2GF|GBAF G2Bc|dBcA BGAG|FGAB c2dc|
Bcde dBGB|dg~g2 bg~g2|Bcde dcBc|Agaf gfed|
Bcde dBGB|defa g2fg|afdf ecAG|FGAB c2dc|",2005-07-24 09:52:44,gian marco,major,"[0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.05932203 0.16101695 0.         0.09322034 0.
 0.19491525 0.1440678  0.         0.1440678  0.         0.05084746
 0.         0.05084746 0.06779661 0.         0.02542373 0.
 0.00847458 0.         0.         0.         0.         0.        ]"
7585,Lady Madelina Sinclair,strathspey,4/4,Gmajor,"|:e/|d>GB>G (3Bcd e2|d<GB>G A2 A>e|d>GB>G (3Bcd g2|G<GB>A G2 G3/2:|
f/|g>fe>d e<gf>e|g/f/e/d/ g>B A2 A>f|g>fe>d e<gf>e|(3gfe (3def g2 d>f|
(3geg (3fdf (3ece (3dBd|c>aB>g A2 A>c|(3Bcd e2 (3bcd g2|G<GB>A G2 G3/2||",2013-09-11 17:41:57,ceolachan,major,"[0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.14285714 0.         0.08163265 0.
 0.1122449  0.07142857 0.         0.15306122 0.         0.16326531
 0.         0.12244898 0.13265306 0.         0.01020408 0.
 0.01020408 0.         0.         0.         0.         0.        ]"
2192,"Baltimore Salute, The",reel,4/4,Gmajor,"|:B2 ge dBGA|B2 GB AGEG|DGGF GABd|egdB ABGA|
B2 ge dBGA|B2 GB AGEG|DGGF GABd|egdB G3A:|
|:BG~G2 gG~G2|gBeB dBGA|BGGB d3g|eaag a2 ga|
b2 ab agef|g2 eg dG (3Bcd|G2 EG Dege|dBAB G3A:|",2019-03-22 14:16:34,Pierre LAÏLY,major,"[0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.02654867 0.         0.02654867
 0.         0.01769912 0.23893805 0.         0.10619469 0.
 0.19469027 0.00884956 0.         0.09734513 0.         0.08849558
 0.         0.00884956 0.11504425 0.         0.05309735 0.
 0.01769912 0.         0.         0.         0.         0.        ]"
3520,Lynch's,barndance,4/4,Dmajor,"|:D2 d2 D2 d2|B>dc>B A4|G>BA>G F>AD>F|E2 c2 (3BcB A2|
D2 d2 D2 d2|B>dc>B A4|G>BA>G F>AD>F|1 E2 C2 D2 F>E:|2 E2 C2 D2 a>g||
|: f>ga>f d4|d>ef>d A4|B2 e2 e>fe>d|c>de>c A2 a>g|
f>ga>f d4|d>ef>d A4|B>da>g f>ed>f|1 e2 c2 d2 a>g:|2 e2 c2 d2 z2||",2025-02-24 23:59:41,dcef,major,"[0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.02020202 0.08080808 0.         0.04040404 0.
 0.05050505 0.04040404 0.         0.1010101  0.         0.1010101
 0.         0.08080808 0.18181818 0.         0.09090909 0.
 0.09090909 0.06060606 0.         0.06060606 0.         0.        ]"
9942,Superfly,reel,4/4,Bminor,"|:Bf ~f2 gfeg|f2 fg fedf|e2 ef edce|ed c/B/A BAFA|
Bf ~f2 gfeg|f2 fg fedf|e2 ef edcd|ed c/B/A B2 BA:|
|:Bcde f2 Bc|defB g2 Bc|defB a2 fa|gfed ed c/B/A|
[1 Bcde f2 Bc|defB g2 Bc|defB a2 Bc|defd gfed:|
[2 Bcde f2 Bc|defB g2 Bc|defB a2 fa|gfed ed c/B/A||",2009-10-02 06:10:40,bogman,minor,"[0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.00675676 0.         0.
 0.0472973  0.         0.16891892 0.         0.10810811 0.15540541
 0.         0.18918919 0.         0.20945946 0.08108108 0.
 0.03378378 0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.        ]"
