tune_id,name,type,meter,mode,abc,date,username,num_measures,num_notes
6073,Jeux D'enfants,mazurka,3/4,Gminor,"zB/A/|G^F GA Bc|d^c dg ab|ba ge gb|d4de/d/|
cd ec BA|Bc dg ab|ba g=e ^fg|^f=e dc BA|
G^F GA Bc|d^c dg ab|ba ge gb|f4 f2|
ef ge d^c|d^f gd cB|ce dc BA|G2G2:|z2|
EF GA BG|AB cd ec|de fg ab|f6|
gf ez zB|fe dz zB|ed cB AG|A4 A2|
EF GA BG|AB cd ec|de fg ab|d'4 d'2|
e'd'c'z zg|d'c' az zd|c'b .a2 b2|g2 z2||",2006-08-06 15:55:26,gian marco,34.0,156.0
1363,Thirty Bottle Hughie,reel,4/4,Gmajor,"GA|BGEG DGEG|cAAA/B/ cAA2|BGEG DGEG|cBAB G2GA
BGEG DGEG|cAAA/B/ cAA2|BGEG DGEG|cBAB G2||
GA|BGdG BGdG|cAFA cAFA|BGdG BGdG|cAFA G2GA|
BGdG BGdG|cAFA EADA|BGdG BGdG|cAFA G2||
GA|BGdG eGdG|cAAA/B/ cAFA|BGdG eGdG|cAFA G2GA|
BGdG eGdG|cAAA/B/ cAFA|BGdG eGdG|cAFA G2||",2003-01-21 18:54:40,Aidan Crossey,27.0,188.0
2788,Bill Harte's,jig,6/8,Dmixolydian,"DED A2A|BAG ABA|DED A2A|BAG EGE|
DED A2A|BAG ABc|d2B cBA|1 BAG EGE:|2 BAG E2D||
|:d2B cBA|BAG ABc|d2B cBA|BAG E2D|
dcB cBA|BAG ABc|ded c2A|1 BAG E2D:|2 BAG EGE||",2004-04-09 09:36:16,Dr. Dow,18.0,98.0
6546,"Green Pigeon, The",reel,4/4,Dmajor,"|FGAG FD(3DDD|FDAF G2AG|FDAF GFED|BdcA G2AG|
FDAF GFED|FDAF G2AG|FDAF GABc|dBcA G2FG|
A3B cABG|A2AB c2dc|A3B cABG|BdcA G2FG|
A3B cABG|A2AB c2Bc|dBcA BGAG|Adde dcAG|",2008-03-20 22:37:00,Dan the Man,16.0,114.0
11785,Donald MacLean's,jig,6/8,Amixolydian,"a|:A>AA cee|AdA cGB|A>BB B>cc|c>dB cfe|
A>AA cee|AdA cGB|e>cc dBc|1 Ace a3:|2 Ace a2||
|:f|efe A2c|efe cAc|fee c2e|fee faf|efe A2c|
efe caf|1 ecc dBc|Ace a2:|2 e>cc dBc|Ace a3||
A>AA c>cc|dcc dGB|A>Ae cdB|Ace aga|
A>AA c>cc|dcc dGB|e>cc dBc|1 Ace a3:|2 Ace a2e||
aee a2e|fee cee|fee f2e|cee Bee|
aee a2e|fee caf|e>cc dBc|Ace a2e|
aee a2e|fee cee|fee fee|cee Bee|
aee aee|fee caf|e>cc dBc|Ace a2||",2012-02-20 09:18:34,Solidmahog,46.0,245.0
15346,"Mighty Pickle, The",reel,4/4,Dmajor,"M:2/2
ABFA GEdA-|ABFA GFED|ADFG EBEG|ADFG EABd|
ABFA GEdA-|ABFA GFED|ADFG EBEA-|A2Bc de-e2||
M:3/2
a2 f/e/d befa- afaf|gaed cdAe gecd|DAcd- dcAG cde2|cdAF- FEFA GB d/f/g|
a2 f/e/d befa- afaf|gaed cdAe gege|f3g (3a2b2c'2 a4|a2gf gafg- g3a||
M:2/2
K:Ebmix
b2ag d3g|agge fBde|b2ag edBA-|AdBA- A2ga|
b2ag d3g|agge fBde|be_gf- fdA2|_fBde- eage|
d2BA AE_G=G|d2GA Bd-dG-|GAGE GAB2|GE-Ed- d2BA|
A2G2 d2GA|Bd-dG- GAGE|GAB2 GE-Ed-|d2GA Bd-d2|=E2^F=A ^c4||
",2016-04-10 17:43:48,dairnarth,41.0,262.0
1127,Christmas In Kinsale,jig,6/8,Gmajor,"D|:GFG EGA|Bde dBG|dGG BGG|ADD FDD|
GFG EGA|Bde dBG|ded BGB|1 AFD G2 D:|2 AFD G2 e/f/||
|:gee def|gfg add|gee def|gdB A2 D|
GFG EGA|Bde dBG|ded BGB|1 AFD G2 e/f/:|2 AFD G2 z||",2002-11-10 18:33:09,glauber,19.0,105.0
2051,Whistle Ower The Lave O't,march,4/4,Amajor,"|:A2 A>B cBc<e|ef/g/ ae cAA<G|A2 A>B cBc<e|A>BcA B2 A2:|
|:ef/g/ ag fef<a|ef/g/ ae cAA>G|ef/g/ ag fef<a|A>BcA B2 A2:|",2006-10-22 11:02:50,ceolachan,8.0,62.0
4588,"Sailor's Jacket, The",reel,4/4,Dmixolydian,"dfed A3B|(3Bcd ef g2fe|d2ed AGAB|cBcG EDD2:|
d2fd B/c/d fd|c2ec gcec|d2ed B/c/d fd|eaag edd2|
defg afge|cdef g2fg|a2ge fded|eaag edd2|",2005-06-11 14:21:05,gian marco,12.0,87.0
7318,"Bulgarian, The",polka,2/4,Aminor,"|:c>B|""Am""A>e c>e|""Am""A>e c>e|""G""G>A B>c|""G""d>c B>G|
""Am""A>e c>e|""Am""A>e c>e|""G""d>c B>G|""Am""A2:|
|:c>B|""Am""A>B c>d|""Am""e<f e>e|""C""g>c (3ccc|""G""d2 ""E7""^d2|
""Am""e>f e>d|""F""c<A A>c|""G""d>c B>G|""Am""A2:|",2008-10-20 13:26:29,snowyowl,18.0,78.0
3224,Tom Dowd's Favourite,reel,4/4,Eminor,"|:GA|BEED GEDE|GEDE G3 A|BEED GE D2|1 BddB A2:|2 BddB AcBA||
|:~G3 G GBdB|~G3 B AEEF|G2 GF GBdg|1 e2 dB AcBA:|2 e2 dB A2||",2009-03-21 05:58:55,OsvaldoLaviosa,11.0,66.0
4732,"Flight Attendant, The",jig,6/8,Amixolydian,"|eaa Ace|ded cBA|eae g{a}g{f}g|a{b}a{g}a g{a}g{f}g|
agf eAe|dAd cde|eae {a}gfe|dBe A3:|
|:ABc eAe|dAd eAe|e(3:2:1A(3:2:1B(3:2:1c eAe|dAd AB=c|
A2 A eAe|dAd cde|eae {a}gfe|dBe A3:|",2005-07-15 10:30:36,laridee,16.0,100.0
725,Eddie Kelly's,jig,6/8,Eminor,"GEF G2A|Bee edc|~B3 GBG|AFD AFD|
GEF G2A|Bee edc|~B3 GBG|1 AFD E2F:|2 AFD E3||
|:gfe fed|Bee Bee|gfe fed|1 B^cd e2f:|2 B^cd ed=c||",2002-06-03 20:08:26,seara,14.0,74.0
20620,Shadow On The Hill,waltz,3/4,Aminor,"|:d2 B2 d2|g2 gf e2|d2 A2 c2|B2 BA G2|
c2 A2 A2|A4 G2|F2 FG AF|D2 E2 F2|
G4 d2|c2 A2 e2|c2 A2 g2|f2 fe d2|
g2 d2 B2|e2 ed cB|A6|A6||
|:B4 e2|e4 ef|g2 gf e2|f2 fe d2|
B4 e2|e4 GA|B2 BA G2|A6|
B4 e2|e4 ef|g2 gf e2|f2 fe d2|
B4 e2|e4 GA|B2 BA G2|A6:|",2021-03-28 10:34:11,JACKB,32.0,95.0
4486,Beautiful Gortree,reel,4/4,Emajor,"|:E2GB ~c3B|g~f2e cBGF|E2GB cG (3GGG|G2eG F2GF|
E2GB ~g2bg|fegf|ecBe|~g2fe cBec|BEGF E4:|",2008-07-01 10:41:20,enirehtac,9.0,52.0
17287,Sweedish Walking Tune,march,4/4,Gmajor,"|:B4 A2 GF|.G2.G2 D4|B4 A2 GA|BdBG A2D2|d4 G2 AB|
cdcA .B2 BB|ABAG FDEF|1 G2 GG G2D2:|2 G2 GG (ABcd)||e3d cBcd|
e2 g2 ~f2 e2|d3c BABc|d2 f2 ~e2 d2|c3B AGFG|1 A2 AA A4|
cB A2 cB A2|B2 e2 d4:|2 A2 AA A2 (E/F/G/A/)|ABAG FDEF|G2 GG G2 D2||",2018-09-19 03:49:04,Sara Eberlin,20.0,108.0
22113,"Toper's Double, The",jig,6/8,Gmajor,"BEE BEE|BAG FED|ADD ADD|AGF EFG|
BEE BEE|DFA d3|ed^c BcA|BEE E3:|
efe ed^c|def g3|fdd add|fdd add|
efe ed^c|def g3|ed^c BcA|BEE E3:|",2022-08-07 19:52:01,John E Roche,16.0,86.0
3168,"Old Dudeen, The",reel,4/4,Bminor,"fe|dcBA BAFA|dcde fgfe|dcBA FDFA|BdcA B2:|
de|fedc defg|afbf afeg|fedc defg|afdf e2 de|
fedc defg|afbf a2a2|bfbf afaf|bfaf e2||",2019-04-13 00:58:58,Stiamh,14.0,91.0
1093,Lexie MacAskill,reel,4/4,Eminor,"e2e2 deed|eedB GABd|e2e2 deed|egfd eeBd|
e2e2 deed|eedB GABd|e z e2deed|egfd e z ef||
g2fg e2dB|AAAB GABd|g2fg e2dB|egfd e z ef|
g2fg e2dB|A<AdB GABd|g2fg e2dB|egfd e z ed||
e2e2 e2dB|AAAB GABd|e2e2e2dB|egfd e z Bd|
e2e2e2dB|AAAB GABd|e2e2e2dB|egfd e z eg||
aeea eedB|AAAB GABd|aeea eedB|egfd e z g2|
aeea eedB|A2dB GABd|aeea eedB|egfd e2e2||",2020-12-07 23:08:26,Chee Z,32.0,218.0
19668,"Law Student, The",jig,6/8,Bdorian,"|:~B3 Bcd|cAF ~F3|~B3 d2a|fea fec|
~B3 Bcd|cAF ~F3|def ecA|1 cBA B2F:|2 cBA B2f||
|:~b3 baf|faa a2e|ded cde|cAA A2a|
~b3 baf|faa a2e|ded cdc|~B3 BAF:|",2020-08-25 04:21:31,NfldWhistler,17.0,80.0
22356,"Ballygawley, The",barndance,4/4,Dmajor,"DB,|A,2DE FDD2|EFGE A2(3Bcd|cAAG EFGE|AFEF DCB,C|
A,2DE FDD2|EFGE A2(3Bcd|cAAG EAGE|F2D2D2DB,|
A,2DE FDD2|EFGE A2(3Bcd|cAAF G3B|AFEF DCB,C|
A,2DE FDD2|EFGE A2(3Bcd|cAAG EAGE|F2D2D2||
(3ABc|dfAd d2ed|ceAB c3e|dcAF G3B|AFEF DB, B,2|
dfAd d2ed|ceAB c3e|dcAF G2FD|A,2D2D2 (3Acd
dfAd d2ed|ceAB c3e|dcAF G3B|AFEF DB, B,|
A,2DE FDD2|EFGE A2(3Bcd|cAAG EAGE|F2D2D2|",2022-10-15 07:02:09,gian marco,34.0,218.0
19,"Connaughtman's Rambles, The",jig,6/8,Edorian,"|:B>ee B>dd|BeB dBA|B>ee B>dd|BAB d2A|
B>ee B>dd|Bec dBA|d>BA GAB|AGE E2D||
B,2D GDD|EDE GDD|B,2D GAB|AGE E2D|
B,2D GDD|EDE GDD|B,2D GAB|AGE E3:|",2016-05-10 02:19:08,Smiley,16.0,87.0
11348,"Caribou, The",reel,4/4,Edorian,"A|:BGED EFGA|B2ED (3EFE E2|DDFD DADD|BDDA D2Bc|
BGED EFGA|BGBd e2df|efed BcdB|1 AG F/E/D E2Bc:|2 AG F/E/D E4||
|:Be2d efed|Bd e/f/g fedc|Bddc dedc|BGBc dedc|
Be2d efed|Bdef g2fg|afge fdec|1 dB AG/F/ E4:|2 dB AG/F/ E2 Bc||",2019-01-06 22:16:26,NfldWhistler,19.0,136.0
6840,"Nomad, The",jig,6/8,Aminor,"e2d|:c2d/c/ B2c|A3 e2f|e2d c2B|A3 e^fg|
^f3 d3|d2e ^f2g|e2d cd/c/B|c2d/c/ B2A|
B3 g3|B3 c/B/AG|A2B A2G|E3 e2d|
[1 cd/c/B ABc|B2A GAB|ABA GAB|A3 e2d:|
[2 cd/c/B c2A|B2A GAB|ABA GAB|A2B c2d||
|:e3 a3|a4zb|a2g e2d|e2f e2d|
e^fg f2a|g3 ga/g/e|d2c B2A|G2A BAG|
cd/c/B c2A|d3 c2d|e2^f gfe|a3 a2g|
^f3 d3|d2e ^f2g|e3 A3|d3 e2d|
c2d/c/ B2c|A2B c2d|e3 E3|E3 e2d|
cd/c/B ABc|B2A GAB|ABA GAB|1 A2B c2d:|2 A3 e2d||",2007-02-20 05:07:47,gueganton,46.0,189.0
6565,Old Micky McKiernan's,reel,4/4,Dmajor,"D2 FD FAAB|d2 fd BAFA|B2 BA FAdB|AFDF EDB,C|
D2 FD FAAB|d2 fd BAFA|B2 BA FAdB|AFDF EDB,C|
D2 FD FAAB|d2 fd BAFA|B2 BA FAdB|AFDF EB, B,2|
D2 FD FAAB|d2 fd BAFA|B2 BA FAdB|AFDF E2 D2|
|:defg afdf|afdf eB B2|defg afdf|abaf e2 d2|
defg afdf|afdf eBBA|B2 BA FAdB|AFDF E2 D2:|",2006-12-29 15:01:00,Kenny,24.0,171.0
1276,"Irish, The",mazurka,3/4,Gmajor,"|:DG|""G""B2 BA GB|""D""d2 dB AB|""C""c2 ce dc|""G""(3Bcd g2 DG|
""G""B2 BA GB|""D""d2 dB AB|""C""c2 cA FA|1 ""G""G4:|2 ""G""G3 g gf||
|:""C""e2 ce ce|""D""d2 dB AB|""C""c2 cA FA|""G""B3 g gf|
""C""e2 ce ce|""D""d2 dB AB|""C""c2 cA FA|1 ""G""G3 g gf:|2 ""G""G4||",2023-11-28 10:46:35,Aaron Bergen,19.0,100.0
7314,Gan Ainm,reel,4/4,Gmajor,"|:Ge e/e/e edBA|G2 BG AGed|
g2 bg agea|1 gedB edBA:|2 geaf gedB||
|:dG G/G/G BG B/c/d|gfga ba a/a/a|
bage dGBf|1 geaf gedB:|2 gedB G4||",2007-06-06 15:29:46,ceolachan,10.0,79.0
12968,Silver Belle,polka,2/4,Dmajor,"f g ^g||a/b/a/f/ g/a/g/e/ f/g/f/d/ e/f/e/c/|d>e f d Afed|e>f ge Agfe|f>e fga f g ^g|
a/b/a/f/ g/a/g/e/ f/g/f/d/ e/f/e/c/|d>e f d A2 A2|e>fgeA gfe|d d>d d z F G ^G||
A>A ^GA B2g2|f>efdA4|e>fec Agfe|f>gfdA F G ^G|
A>A ^GA B2g2|f>efdA4|e>fec Agfe|d d>d d2 z||",2013-09-11 15:33:33,Larry Ayers,17.0,130.0
3128,Neily Cleere's,polka,2/4,Dmixolydian,"|:FG (~A2|A)B cD|FG AB|cA GB/G/|
FG A2|AB ce|fg/f/ ed|1 cA GA/G/:|2 cA G2||
|:fg a/b/a/g/|fa ge|fg a/b/a/g/|fa g2|
fg a/b/a/g/|fa ge|fd ec|AF G2:|",2018-02-07 02:11:45,Thady Quill,17.0,72.0
14280,Herbert The Sherbert,jig,6/8,Eminor,"|:E2E e2e|cBA B2A|GBA GFE|FAd AFD|
E2 E e2e|cBA B2B|B^cd A^cd|1 AFD E2D:|2 AFD E2F||
|:G2G BAG|AGA cBA|GFG BAG|FAd AFD|
G2G BAG|AB/^c/d e3|B^cd A^cd|1 AFD E2F:|2 AFD E2D||",2020-08-08 22:55:13,NfldWhistler,18.0,95.0
20362,"Short Is The Night, Long Is The Road",jig,6/8,Bminor,"|:B2F dcA|BAF EFA|BAF ~G3|Bce dcA|
~B3 dcA|BAF EFA|BAF EDC|1 DCB, B,DF:|2 DCB, B,2C||
DB,B, ~F3|B,DF B2d|cAA eAf|ecA EDC|
DB,B, ~F3|B,DF B2d|c2A edc|dBB B3|
G,B,D GAB|~d3 dcB|cAe AfA|ecA EDC|
~D3 ~E3|~F3 ABc|BAF EDC|DCB, B,DF||",2021-01-24 01:56:05,NfldWhistler,25.0,127.0
23300,Vinegar Hill,reel,4/4,Gmajor,"gf|:eB ~B2 GB ~B2|eBdB AGED|EA A/B/A GABd|e/f/g dg edBd|
g2 fg eB ~B2|eBdB AGED|EA A/B/A GABd|e/f/g af g3 f:|
|:eB ~B2 efge|af ~f2 bg ~g2|eB ~B2 efge|fdfa g2 ga|
bgaf gdBd|e/f/g dg edBd|ea ~a2 gfed|e/f/g af g2 fd:|",2023-07-04 08:02:14,John E Roche,17.0,123.0
71,Morrison's,jig,6/8,Eminor,"|:TE3 BEB|EBE AFD|TE3 BEB|edB AFD|
E3 BEB|EBE AFD|EBE BEB|edB AFD:|
eee fee|aee fee|efe fef|a2 g fed|
eee fee|bee fee|e/f/ge fde|dcB AFD||
eee fee|bee fee|bee fef|a2 f def|
gba/g/ fag/f/|egf/e/ def/g/|egf/e/ d2 A|BAG FED||",2015-09-13 13:56:19,aidriano,24.0,141.0
953,Elizabeth Kelly's Delight,slip jig,9/8,Adorian,"|:A3 ABA AGE|A2 EG2 E DEG|A3 ABA AGE|~G3 G2 E DEG:|
|:c2 A BAG AGE|cBA BGE DEG|c2 A BAG AGE|~G3 G2 E DEG:|",2002-09-07 05:07:35,Will Harmon,8.0,58.0
4577,Gypsy Princess,barndance,4/4,Gmajor,"(B2 B)B B2B2|ABAG E2 DE|G2 GB d2 dd|dedB A2 GA|
(B2 B)B B2B2|ABAG E2 DE|G2 GB d2 dB|A2 G2 G2 GA:|
(d2 d)d d2 d2|ABBA GABd|(e2e)e e2 e2|ABBA GABc|
(d2 d)d d2 d2|ABBA GABd|g2 ge dBAc|B2 G2 G2 GA:|",2020-01-15 20:27:52,dersulle,16.0,99.0
9852,"Thorn Tree, The",slip jig,9/8,Eminor,"|:EGE EDE G3|A3 AGA BGE|B2c AGF G2F|E3 GEE DB,A,|
B,2E EDE G3|A3 AGA BGE|B2c AGF G2A|BdB AFD E3:|
|:B2e ede g3|afd f2e dBA|B2e ede g3|aba fed ef/g/a|
b2b agf g2f|e2e gee dgf|e3 edB BAB|G2B AFD E3:|",2009-08-28 15:27:09,m.r.kelahan,16.0,113.0
1725,Kishor's Tune,polka,2/4,Dmixolydian,"A2 B/A/G|AD DE|{E}DC DF|Gc Ae|
fd/d/ ce|dG (A/B/)d|GA/G/ FG|Ae (B/c/)g|
GA B/A/G|AD DE|{E}DC DF|Gc Ae|
fd/d/ ce|dG Bg|f/e/d ec|1 dA e/d/c/B/:|2 dA d/e/f/g/||
|:a2 ac|ad dg|f{g}f/e/ fd|ec AG|
AB/A/ GF|GA- Ad|Bc A/B/c|Bz BA-|
Aa ac|ad dg|f{g}f/e/ fd|ec AG|
AB/A/ GF|GA B/A/G|F/E/D EF|1 GF db:|2 GF G^G||",2003-06-04 16:55:59,Dr. Dow,34.0,156.0
6583,Mad Dan,reel,4/4,Amajor,"|:e|a3 e fece|ABce fece|A2 eA fAeA|BABc defe|
a2 ae fe c/d/e|A/B/A ce fecB|A2 eA fAeA|BABc A3:|
|:E|A2 eA fAeA|aece fece|A2 eA fAeA|BABc defe|
A/A/A eA fAeA|aece fece|B2 A/B/c Bcde|fece A3:|",2007-01-02 11:40:34,ceolachan,18.0,120.0
5665,"Hogmanay, The",mazurka,3/4,Gmajor,"|:d2 d>B G>B|d2 d>B G>B|c2 c>d e>c|d2 d>B G>B|
c2 c>d e>c|B2 B>c d>B|A2 A>B c>d|1 d>e d>c B>c:|2 e>d c>d e>f||
|:g2 g>a b>g|a2f2d2|e2 e>f g>e|d2c2B2|
c2 c>d e>c|B2 B>c d>B|1 c2 c>d e>c|d2e2f2:|2 A2 A>B c>d|d>e d>c B>c||",2006-04-12 06:30:45,dafydd,19.0,92.0
18076,John Joe Pidgeon's,polka,2/4,Dmajor,"|:A,A, A,A,|D2 EF|GB/G/ FE|DE FG|
A,A, A,A,|D2 EF|GB/G/ FE|ED D2:|
|:AB/c/ dd|cd E2|Ec BA|FE FA|
Ac dd|cd E2|Ec BA|FE D2:|",2019-06-27 03:07:32,NfldWhistler,16.0,61.0
791,Father Kelly's,reel,4/4,Gmajor,"|:GA|~B2GB AGEG|DGGF G2AB|c2Ac BAGF|EAAG FDGA|
B2GB AGEG|DGGF GABc|(3ded Bd gdBd|1 cAFA G2:|2 cAFA GABc||
|:(3ded Bd gdBd|(3ded Bd gd(3Bcd|e2ce agfe|defg agfe|
(3ded Bd gdBd|(3ded Bd gdBd|c2Ac BAGB|1 AGFA GABc:|2 AGFA G2||",2008-01-16 09:51:05,The Merry Highlander,19.0,140.0
15808,Polska Efter Carl-Erik Berndt,waltz,3/4,Amajor,"A/B/c/d/ e2 a2|gb/g/ eg/e/ cB/c/|d>e fe cA|c2 B/A/G/A/ Bc/B/|
A/B/c/d/ ec/e/ a2|g/e/b/g/ eg/e/ cB/c/|d>e fe cA|c2 B/A/G/B/ A2:|[K: Amix]
|:A>B cA B=G|A>B cA BG|A>B cd ef|g>g f/e/d/f/ ef/e/|
A>B cA BG|A>B cA BG|A>B c/B/c/d/ ec|c/B/A/^G/ A4:|",2017-02-02 23:49:48,pbsinclair42,17.0,111.0
10733,Mrs. Galvin's,jig,6/8,Gmajor,"GA|:BBA BGG|dGG BAG|~A3 ABA|GBd gdc|
BBA BGG|dGG BAG|~A3 ABA|1 AGF G2A:|2 AGF GBd||
|:~g3 fed|B2d def|~g3 fed|Bee e2f|~g3 fed|
B2d def|1 ~g3 gdB|AGF GBd:|2 ~g3 ~g3|~g3 gdc||",2010-10-09 02:06:10,markinpdx,20.0,94.0
10580,Scordatura,jig,6/8,Amajor,"ABA cAA|dAA cAA|ABA cAA|dAA cAA|efe ecB|AFE D2 F|
ABA cAA|dAA cAA|ABA cAA|dAA cAA|efe agf|ecB A2:|
G2 E C2 E|F2 D B2, D|G2 E C2 D|E3 F3|
GEE CEE|FDD B,DD|GEE CEE|F3 c2:|
ABA cAA|dAA cAA|ABA cAA|dAA cAA|efe ecB|AFE D2 F|
ABA cAA|dAA cAA|ABA cAA|dAA cAA|efe agf|ecB A2:|",2010-07-10 05:01:24,ceolachan,32.0,172.0
1843,Kitty's Rambles,jig,6/8,Dmajor,"G|FED =cBA|dcd efg|fed =cAF|GAF GFE|
FED =c2A|dcd efg|fed cAG|Adc d2:|
A|dfa dfa|dfa afd|=ceg ceg|=ceg gfe|
fef gfg|afa gfe|fed =cAG|Adc d2:|
e|fgf efe|ded =cAG|FGF EFE|DED GED|
AGA =cAG|dcd efg|fed =cAG|Adc d2:|
f/g/|afd dcd|dfa agf|ge=c cBc|e=ce gfe|
fdf geg|agf efg|fed cAG|Adc d2:|",2017-01-06 03:30:45,Ian Varley,36.0,188.0
3556,Reel D'Issoudun,reel,4/4,Amajor,"efge a2gf|eagf edcd|efge a2 gf|eagf edcA|BAGB A4:|
c2 c2 B4|BABc dcBA|c2 c2 B3 c|BAGB A4|EAAB c2 c2|
B4 BABc|dcBA c2 c2|B3 c BAGB|A4 EAAB|
c2 c2 B4|BABc dcBA|c2 c2 B3 c|BAGB A4||",2004-09-16 22:54:53,Kerri Coombs,18.0,103.0
